price,quantity,type,timestamp
29083000,0.0264,0,2022-11-07 22:28:01.620
29082000,0.5415,0,2022-11-07 22:28:01.620
29081000,0.1353,0,2022-11-07 22:28:01.620
29080000,0.0862,0,2022-11-07 22:28:01.620
29077000,0.1169,0,2022-11-07 22:28:01.620
29091000,0.0273,1,2022-11-07 22:28:01.620
29092000,0.063,1,2022-11-07 22:28:01.620
29093000,0.1209,1,2022-11-07 22:28:01.620
29096000,0.0388,1,2022-11-07 22:28:01.620
29097000,0.6,1,2022-11-07 22:28:01.620
29083000,0.0264,0,2022-11-07 22:28:02.464
29082000,0.5415,0,2022-11-07 22:28:02.464
29081000,0.1353,0,2022-11-07 22:28:02.464
29080000,0.0862,0,2022-11-07 22:28:02.464
29077000,0.1169,0,2022-11-07 22:28:02.464
29091000,0.0273,1,2022-11-07 22:28:02.464
29092000,0.063,1,2022-11-07 22:28:02.464
29093000,0.1209,1,2022-11-07 22:28:02.464
29096000,0.0388,1,2022-11-07 22:28:02.464
29097000,0.6,1,2022-11-07 22:28:02.464
29083000,0.0225,0,2022-11-07 22:28:03.720
29082000,0.5035,0,2022-11-07 22:28:03.720
29081000,0.1353,0,2022-11-07 22:28:03.720
29080000,0.0862,0,2022-11-07 22:28:03.720
29079000,0.0409,0,2022-11-07 22:28:03.720
29091000,0.0273,1,2022-11-07 22:28:03.720
29092000,0.063,1,2022-11-07 22:28:03.720
29093000,0.1599,1,2022-11-07 22:28:03.720
29098000,0.6527,1,2022-11-07 22:28:03.720
29099000,0.1973,1,2022-11-07 22:28:03.720
29081000,0.0859,0,2022-11-07 22:28:05.430
29079000,0.0606,0,2022-11-07 22:28:05.430
29078000,0.0528,0,2022-11-07 22:28:05.430
29077000,0.1169,0,2022-11-07 22:28:05.430
29076000,0.0383,0,2022-11-07 22:28:05.430
29089000,0.0643,1,2022-11-07 22:28:05.430
29090000,0.1217,1,2022-11-07 22:28:05.430
29091000,0.1315,1,2022-11-07 22:28:05.430
29092000,0.0525,1,2022-11-07 22:28:05.430
29093000,0.1209,1,2022-11-07 22:28:05.430
29081000,0.0305,0,2022-11-07 22:28:06.477
29079000,0.0606,0,2022-11-07 22:28:06.477
29078000,0.0528,0,2022-11-07 22:28:06.477
29077000,0.1169,0,2022-11-07 22:28:06.477
29076000,0.0383,0,2022-11-07 22:28:06.477
29089000,0.0643,1,2022-11-07 22:28:06.477
29090000,0.1217,1,2022-11-07 22:28:06.477
29091000,0.1315,1,2022-11-07 22:28:06.477
29092000,0.0525,1,2022-11-07 22:28:06.477
29093000,0.1209,1,2022-11-07 22:28:06.477
29081000,0.0305,0,2022-11-07 22:28:07.638
29079000,0.0606,0,2022-11-07 22:28:07.638
29078000,0.0528,0,2022-11-07 22:28:07.638
29077000,0.1169,0,2022-11-07 22:28:07.638
29076000,0.0383,0,2022-11-07 22:28:07.638
29087000,0.0833,1,2022-11-07 22:28:07.638
29089000,0.0643,1,2022-11-07 22:28:07.638
