price,quantity,type,timestamp
29707000,0.0147,1,2022-11-06 13:27:03.714
29708000,0.0518,1,2022-11-06 13:27:03.714
29701000,0.0567,0,2022-11-06 13:27:04.607
29699000,0.2619,0,2022-11-06 13:27:04.607
29696000,0.0545,0,2022-11-06 13:27:04.607
29695000,0.44,0,2022-11-06 13:27:04.607
29694000,0.1673,0,2022-11-06 13:27:04.607
29703000,0.0612,1,2022-11-06 13:27:04.607
29704000,0.0161,1,2022-11-06 13:27:04.607
29706000,0.1242,1,2022-11-06 13:27:04.607
29707000,0.0147,1,2022-11-06 13:27:04.607
29708000,0.0518,1,2022-11-06 13:27:04.607
29701000,0.0506,0,2022-11-06 13:27:05.681
29699000,0.2619,0,2022-11-06 13:27:05.681
29698000,0.0894,0,2022-11-06 13:27:05.681
29696000,0.1054,0,2022-11-06 13:27:05.681
29695000,0.4801,0,2022-11-06 13:27:05.681
29704000,0.0161,1,2022-11-06 13:27:05.681
29707000,0.0147,1,2022-11-06 13:27:05.681
29708000,0.0389,1,2022-11-06 13:27:05.681
29709000,0.3995,1,2022-11-06 13:27:05.681
29710000,0.0893,1,2022-11-06 13:27:05.681
29701000,0.0506,0,2022-11-06 13:27:06.661
29699000,0.2619,0,2022-11-06 13:27:06.661
29698000,0.0894,0,2022-11-06 13:27:06.661
29696000,0.0509,0,2022-11-06 13:27:06.661
29695000,0.4801,0,2022-11-06 13:27:06.661
29707000,0.0147,1,2022-11-06 13:27:06.661
29708000,0.0389,1,2022-11-06 13:27:06.661
29710000,0.0893,1,2022-11-06 13:27:06.661
29711000,0.0519,1,2022-11-06 13:27:06.661
29712000,0.0476,1,2022-11-06 13:27:06.661
29701000,0.0506,0,2022-11-06 13:27:07.743
29699000,0.2619,0,2022-11-06 13:27:07.743
29698000,0.0894,0,2022-11-06 13:27:07.743
29696000,0.0509,0,2022-11-06 13:27:07.743
29695000,0.4801,0,2022-11-06 13:27:07.743
29707000,0.0147,1,2022-11-06 13:27:07.743
29708000,0.0389,1,2022-11-06 13:27:07.743
29710000,0.0893,1,2022-11-06 13:27:07.743
29711000,0.0519,1,2022-11-06 13:27:07.743
29712000,0.0476,1,2022-11-06 13:27:07.743
29701000,0.0442,0,2022-11-06 13:27:09.677
29699000,0.2619,0,2022-11-06 13:27:09.677
29698000,0.0894,0,2022-11-06 13:27:09.677
29697000,0.0617,0,2022-11-06 13:27:09.677
29696000,0.0509,0,2022-11-06 13:27:09.677
29706000,0.0636,1,2022-11-06 13:27:09.677
29707000,0.0147,1,2022-11-06 13:27:09.677
29708000,0.0389,1,2022-11-06 13:27:09.677
29710000,0.0893,1,2022-11-06 13:27:09.677
29711000,0.0519,1,2022-11-06 13:27:09.677
29701000,0.0442,0,2022-11-06 13:27:10.749
29699000,0.2619,0,2022-11-06 13:27:10.749
29698000,0.0894,0,2022-11-06 13:27:10.749
29697000,0.0617,0,2022-11-06 13:27:10.749
29696000,0.0509,0,2022-11-06 13:27:10.749
29706000,0.0636,1,2022-11-06 13:27:10.749
29707000,0.0147,1,2022-11-06 13:27:10.749
29708000,0.0389,1,2022-11-06 13:27:10.749
29710000,0.1558,1,2022-11-06 13:27:10.749
29711000,0.0519,1,2022-11-06 13:27:10.749
29701000,0.0442,0,2022-11-06 13:27:11.385
29699000,0.2619,0,2022-11-06 13:27:11.385
29698000,0.0894,0,2022-11-06 13:27:11.385
29697000,0.0617,0,2022-11-06 13:27:11.385
29696000,0.0509,0,2022-11-06 13:27:11.385
29706000,0.0636,1,2022-11-06 13:27:11.385
29707000,0.0147,1,2022-11-06 13:27:11.385
29708000,0.0389,1,2022-11-06 13:27:11.385
29710000,0.1558,1,2022-11-06 13:27:11.385
29711000,0.0519,1,2022-11-06 13:27:11.385
29701000,0.0442,0,2022-11-06 13:27:12.741
29699000,0.2619,0,2022-11-06 13:27:12.741
29698000,0.0894,0,2022-11-06 13:27:12.741
